native_path	kind	status	ported_candidates	evidence_or_next_action
Antenna/TrackerGeneric.cs	csharp	replace	Services/AntennaTrackerOutputs.cs;ViewModels/AntennaTrackerUIViewModel.cs	All three official antenna-tracker output protocols are implemented by the cross-platform tracker service and covered by protocol/lifecycle tests.
Antenna/TrackerUI.Designer.cs	csharp	replace	Views/AntennaTrackerUIView.axaml;ViewModels/AntennaTrackerUIViewModel.cs;Services/AntennaTrackerOutputs.cs	The native Avalonia tracker view ports live target tracking and all official output interfaces; see Porting/Reference/PORT_STATUS.md.
Antenna/TrackerUI.ar.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Antenna/TrackerUI.az-Latn-AZ.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Antenna/TrackerUI.cs	csharp	replace	Views/AntennaTrackerUIView.axaml;ViewModels/AntennaTrackerUIViewModel.cs;Services/AntennaTrackerOutputs.cs	The native Avalonia tracker view ports live target tracking and all official output interfaces; see Porting/Reference/PORT_STATUS.md.
Antenna/TrackerUI.de-DE.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Antenna/TrackerUI.fr.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Antenna/TrackerUI.id-ID.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Antenna/TrackerUI.it-IT.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Antenna/TrackerUI.ko-KR.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Antenna/TrackerUI.pt.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Antenna/TrackerUI.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Antenna/TrackerUI.ru-KZ.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Antenna/TrackerUI.tr.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Antenna/TrackerUI.uk.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Antenna/TrackerUI.zh-Hans.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Antenna/TrackerUI.zh-Hant.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Antenna/TrackerUI.zh-TW.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Common.cs	csharp	replace	Controls/MapView.cs;Controls/MavMarker.cs;Services/Dialogs.cs;Services/ProgressDialogs.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/AuthKeys.Designer.cs	csharp	replace	ViewModels/GCSViews/ConfigurationView/ConfigAdvancedViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/AuthKeys.cs	csharp	replace	ViewModels/GCSViews/ConfigurationView/ConfigAdvancedViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/AuthKeys.ko-KR.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/AuthKeys.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/AuthKeys.uk.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/AuxOptions.Designer.cs	csharp	replace	GCSViews/FlightDataView.axaml;ViewModels/FlightDataViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/AuxOptions.cs	csharp	replace	GCSViews/FlightDataView.axaml;ViewModels/FlightDataViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/AuxOptions.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionControl.Designer.cs	csharp	replace	Views/MainWindow.axaml;ViewModels/ConnectionViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
Controls/ConnectionControl.ar.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionControl.az-Latn-AZ.resx	resx	retain		Preserve neutral/culture resource until AXAML localization mapping is verified.
Controls/ConnectionControl.cs	csharp	replace	Views/MainWindow.axaml;ViewModels/ConnectionViewModel.cs	Mapped to the listed native Avalonia artifacts; feature-level parity and deliberate safety differences are recorded in Porting/Reference/PORT_STATUS.md.
